Day,Campaign ID,Audience,Impressions,Clicks,Conversions,Cost
2016-04-14,390878914,uservertical::92001,699,0,0.0,780740
2016-04-16,390878914,uservertical::92001,874,0,0.0,997440
2016-04-13,394914754,uservertical::92910,5,0,0.0,1360000
2016-04-13,394914754,uservertical::92300,20,0,0.0,6570000
2016-04-15,390878914,uservertical::92002,5219,0,0.0,6062940
2016-04-16,390878914,uservertical::92002,34915,6,0.0,57674320
2016-04-14,390878914,uservertical::92913,4721,1,0.0,7363900
2016-04-15,390878914,uservertical::92913,4106,0,0.0,6190300
2016-04-13,394914754,uservertical::92913,1,0,0.0,0
2016-04-13,394914754,uservertical::91800,45,1,0.0,19850000
2016-04-13,394914754,uservertical::92914,50,0,0.0,20600000
2016-04-16,390878914,uservertical::92913,3065,1,0.0,4903490
2016-04-13,394914754,uservertical::92505,7,0,0.0,0
2016-04-14,390878914,uservertical::92002,46091,10,0.0,72906340
2016-04-13,394914754,uservertical::91000,1,0,0.0,0
2016-04-16,390878914,uservertical::92911,763,0,0.0,1073990
2016-04-13,394914754,uservertical::91900,1281,3,0.0,477200000
2016-04-16,390878914,uservertical::92911,32406,2,0.0,53426340
2016-04-13,394914754,uservertical::92800,12,0,0.0,7050000
2016-04-13,390878914,uservertical::92911,15738,3,0.0,22680920
2016-04-15,390878914,uservertical::92000,244127,46,0.0,364345320
2016-04-14,390878914,uservertical::92000,241992,77,0.0,354117680
2016-04-13,390878914,uservertical::92001,213,0,0.0,313660
2016-04-15,390878914,uservertical::92001,124,0,0.0,187720
2016-04-16,390878914,uservertical::92001,183,0,0.0,239630
2016-04-14,390878914,uservertical::92001,109,0,0.0,149640
2016-04-13,394914754,uservertical::92504,6,0,0.0,0
2016-04-13,394914754,uservertical::92507,11,0,0.0,0
2016-04-13,394914754,uservertical::90200,2,0,0.0,0
2016-04-13,394914754,uservertical::92508,1,0,0.0,0
2016-04-15,390878914,uservertical::92001,797,0,0.0,1046880
2016-04-13,390878914,uservertical::92001,1055,1,0.0,1265400
2016-04-15,390878914,uservertical::92913,226,0,0.0,235650
2016-04-16,390878914,uservertical::92002,3319,1,0.0,3951900
2016-04-16,390878914,uservertical::92913,128,0,0.0,214220
2016-04-13,390878914,uservertical::92913,340,0,0.0,481530
2016-04-13,390878914,uservertical::92002,7659,2,0.0,9400110
2016-04-14,390878914,uservertical::92002,4082,0,0.0,4508860
2016-04-14,390878914,uservertical::92913,431,0,0.0,293780
2016-04-13,390878914,uservertical::92913,4568,2,0.0,6527870
2016-04-13,390878914,uservertical::92002,49480,14,0.0,78180200
2016-04-13,394914754,uservertical::91100,1,0,0.0,1630000
2016-04-15,390878914,uservertical::92002,47637,9,0.0,73899550
2016-04-13,394914754,uservertical::91500,1,0,0.0,0
2016-04-13,394914754,uservertical::92702,2,0,0.0,0
2016-04-13,394914754,uservertical::91600,1,0,0.0,0
2016-04-15,390878914,uservertical::92911,1331,0,0.0,1151070
2016-04-14,390878914,uservertical::92000,20261,4,0.0,22584940
2016-04-15,390878914,uservertical::92000,23226,4,0.0,27599700
2016-04-13,390878914,uservertical::92000,32606,3,0.0,40966040
2016-04-13,390878914,uservertical::92911,896,0,0.0,1122320
2016-04-16,390878914,uservertical::92000,17304,1,0.0,20680880
2016-04-14,390878914,uservertical::92911,668,0,0.0,742770
2016-04-13,394914754,uservertical::92000,92,1,0.0,29890000
2016-04-14,390878914,uservertical::92911,22731,7,0.0,37937790
2016-04-16,390878914,uservertical::92000,214707,43,0.0,357905360
2016-04-13,390878914,uservertical::92000,235353,43,0.0,356322660
2016-04-13,394914754,uservertical::92911,2,0,0.0,0
2016-04-15,390878914,uservertical::92911,20760,6,0.0,25935800
Total, --, --,1346451,291,0.0,2590519650
